isim,enlem,boylam
15 Temmuz Kızılay Millî İrade,39.899,32.86278
Adliye,39.89934,32.81676
Akköprü,39.89053,32.85005
Anadolu/Anıtkabir,39.93408,32.80097
ASKİ,39.9475,32.85028
AŞTİ,39.91949,32.7921
Atatürk Kültür Merkezi,39.90154,32.85318
Bahçelievler,39.90248,32.84922
Batıkent,39.8775,32.72923
Batı Merkez,39.87166,32.73737
Belediye (Keçiören),39.95873,32.78373
Beşevler,39.89994,32.83715
Beytepe,39.91898,32.79988
Bilkent,39.86775,32.7426
Botanik,39.86703,32.72407
Çayyolu,39.89253,32.7787
Demetevler,39.89061,32.7351
Demirtepe,39.89378,32.8605
Devlet Mahallesi,39.92685,32.66359
Dışkapı,39.91969,32.85815
Dikimevi,39.89998,32.86546
Dutluk,39.94543,32.74217
Emek,39.90088,32.83152
Eryaman 1-2,39.96116,32.6523
Eryaman 5,39.96125,32.6453
Fatih,39.80025,32.57735
Gar,39.93611,32.84361
Göksu,39.90206,32.75254
GOP,39.85406,32.71355
Harikalar Diyarı,39.84304,32.68516
Hastane,39.90724,32.78729
İstanbul Yolu,39.84267,32.70157
İvedik,39.91894,32.72875
Kolej,39.92389,32.86194
Koru,39.91539,32.72668
Kurtuluş,39.92319,32.85901
Kuyubaşı,39.95844,32.7846
Macunköy,39.91093,32.74965
Maltepe,39.93485,32.84354
Mecidiye,39.95133,32.77091
Mesa,39.90204,32.75416
Meteoroloji,39.95452,32.7676
Milli Kütüphane,39.91539,32.80271
MTA,39.9095,32.80178
Necatibey,39.91561,32.80128
ODTÜ,39.86502,32.74653
OSTİM,39.90012,32.74077
Sıhhiye,39.91782,32.85819
Söğütözü,39.91979,32.80928
Şehitler,39.9592,32.78337
Tarım Bakanlığı–Danıştay,39.91029,32.80199
Ulus,39.93323,32.85911
Ümitköy,39.9321,32.77893
Yenimahalle,39.90285,32.72944
